Account,IFM
Smith & Nephew - Costa Rica,Direct
Snap Group - Singapore,CBRE
SoftLayer Technologies,Direct
Softlayer Technologies - Singapore,CBRE
Southwest Airlines,Direct
Spirit Aerosystems,Direct
St. Jude Medical - Costa Rica,Direct
Stanislaus County Health Service,Direct
State Farm Ins,CBRE
Stellantis,Direct
Swiss Re,Direct
Syngenta,CBRE
T Rowe Price,JLL
Takeda Pharmaceutical,CBRE
Terumo Cardiovascular - Costa Rica,Direct
Tesla Inc,Direct
Textron Aviation,Direct
Textron Aviation - Singapore,Direct
TFB Manufacturing - Costa Rica,Direct
TGS Management,CBRE
Theragencis - Costa Rica,Direct
Thermo Fisher,Direct
Thermofisher - Singapore,CBRE
Thomson Reuters Corp,C&W
TTE Engineering - Malaysia,Direct
Uber,CBRE
Uber - Costa Rica,CBRE
UCAR,Direct
Ultra Clean Tech - Malaysia,Direct
United Technologies,CBRE
United Technologies,JLL
USAA,CBRE
Vantive - Costa Rica,Direct
Vector Aerospace - Singapore,Direct
Volcarica - Costa Rica,Direct
W.L. Gore,Direct
Wells Fargo,C&W
Wells Fargo,CBRE
Wells Fargo,JLL
Western Union - Costa Rica,Direct
Westinghouse,JLL
Wieland Group,Direct
Workspace Properties,Direct
Xavier,Compass
Xerox,JLL
Yondr,CBRE
Zona Franca La Lima - Costa Rica,Direct
