,,BaseData,Actual,Final,USD Consolidated,Total Program,Total Cost Center
,,2025,2025,2025,2026,,
,,October,November,December,January,,
Above Base Services,Seattle Children's Research Institute Portfolio," 6,956 "," 3,008 "," 4,852 "," 34,382 ",,
Above Base Services,Syngenta Portfolio, 972 ," 10,545 "," 2,138 "," 1,094 ",,
Above Base Services,Takeda Pharmaceutical Portfolio," 1,676 ", -   , -   , -   ,,
Above Base Services,Thermo Fisher Portfolio," 9,321 "," 6,322 "," 4,971 ", 130 ,,
Above Base Services,Anheuser Busch Portfolio," 5,267 ", -   , 495 , -   ,,
Above Base Services,Ball Corporation Portfolio," 57,103 "," 55,256 "," 57,756 "," 53,810 ",,
Above Base Services,Boeing Company Portfolio," 41,008 "," 33,794 "," 39,387 "," 32,937 ",,
Above Base Services,Clorox Company Portfolio," 23,690 "," 3,150 "," 11,350 "," 4,500 ",,
Above Base Services,Coca-Cola Portfolio," 12,414 "," 1,660 ", -   , -   ,,
Above Base Services,Covestro Portfolio," 3,671 "," 1,580 "," 6,007 "," 3,208 ",,
Above Base Services,Danfoss Power Solutions Portfolio," 9,164 "," 13,433 "," 6,645 "," 9,375 ",,
Above Base Services,DuPont Portfolio, 831 , -   , 917 , (547),,
Above Base Services,Gallo Wine Portfolio," 45,900 "," 27,520 "," 25,275 "," 34,413 ",,
Above Base Services,General Dynamics Portfolio," 6,887 "," 11,871 "," 16,827 "," 12,722 ",,
Above Base Services,General Electric Portfolio," 34,635 "," 27,907 "," 47,147 "," 3,980 ",,
Above Base Services,GE Power Portfolio, -   ," 3,933 "," 4,423 ", -   ,,
Above Base Services,Hasbro Portfolio," 3,881 "," 3,151 "," 1,544 "," 1,268 ",,
Above Base Services,Lockheed Martin Portfolio," 7,708 "," 9,288 "," 4,056 "," 9,192 ",,
Above Base Services,Mars Portfolio," 3,519 "," 1,709 "," 4,542 "," 1,122 ",,
Above Base Services,Molson Coors Portfolio," 16,223 "," 20,723 "," 10,246 "," 4,400 ",,
Above Base Services,Nestle Portfolio," 24,417 "," 27,132 "," 18,589 "," 20,589 ",,
Above Base Services,Newell Brands Portfolio," 5,789 "," 15,930 ", (572)," 7,907 ",,
Above Base Services,Northrop Grumman Portfolio," 13,483 "," 19,971 "," 16,652 "," 5,263 ",,
Above Base Services,Parsons Corporation Portfolio, -   , -   , -   ," 4,397 ",,
Above Base Services,Procter & Gamble Company Portfolio," 201,535 "," 146,251 "," 116,429 "," 139,402 ",,
Above Base Services,S.C. Johnson Portfolio," 1,101 "," 6,172 "," 4,629 "," 6,265 ",,
Above Base Services,Spirit Aerosystems Portfolio," 114,484 "," 269,063 "," 103,644 "," 205,260 ",,
Above Base Services,Textron Aviation Portfolio," 461,841 "," 370,277 "," 621,602 "," 208,051 ",,
Above Base Services,United Technologies Portfolio," 113,628 "," 121,797 "," 100,210 "," 120,222 ",,
Above Base Services,W.L. Gore Portfolio," 4,086 "," 7,259 "," 4,764 "," 3,365 ",,
Above Base Services,Westinghouse Portfolio, 375 , 365 , 261 , 104 ,,
Above Base Services,Workspace Properties Portfolio, -   ," 1,191 ", -   , -   ,,
Above Base Services,Boxer Property Management Portfolio," (7,245)"," 5,029 "," 7,176 "," 6,932 ",,
Above Base Services,Capital Center Building Portfolio," 1,527 "," 1,368 ", -   , 945 ,,
Above Base Services,Cathedral Office Building Portfolio, -   , -   ," 1,037 ", 859 ,,
Above Base Services,City of Indio Portfolio," 5,367 ", -   ," 5,367 ", -   ,,
Above Base Services,DB Schenker Portfolio," 1,750 "," 2,392 ", -   , -   ,,
Above Base Services,Great American Ball Park Portfolio," 43,074 "," 4,008 "," 4,771 "," 3,733 ",,
Above Base Services,Hills Plaza Portfolio, 614 ," 1,106 ", -   ," 1,802 ",,
Above Base Services,Massachusetts Institute of Tech Portfolio," 1,635 ", -   , -   , -   ,,
Above Base Services,Nelson McBride Development Portfolio," 1,441 ", -   ," 3,648 ", -   ,,
Above Base Services,Sac Properties Portfolio," 9,695 "," 5,671 "," 2,395 "," 3,575 ",,
Above Base Services,Xavier Portfolio," 12,546 "," 35,486 "," 34,998 "," 27,686 ",,
Above Base Services,Adobe Systems Portfolio," 19,807 "," 22,606 "," 103,793 "," (2,175)",,
Above Base Services,Altera Portfolio," 20,477 "," 3,826 "," 3,139 "," 8,863 ",,
Above Base Services,AMD Portfolio," 14,292 "," 27,076 "," 17,639 "," 22,250 ",,
Above Base Services,Benaroya Hall Portfolio, -   , -   , -   ," 6,126 ",,
Above Base Services,Computershare Portfolio," 5,186 "," 5,970 "," 4,565 "," 2,950 ",,
Above Base Services,Conduent Portfolio, 473 , 464 ," 5,430 "," 1,683 ",,
Above Base Services,Edged Energy Portfolio," 3,273 "," 3,273 "," 3,273 "," 4,117 ",,
Above Base Services,Google Portfolio," 1,466,286 "," 1,986,404 "," 1,970,135 "," 1,681,803 ",,
Above Base Services,Hewlett-Packard Portfolio," 162,242 "," 123,347 "," 107,330 "," 105,450 ",,
Above Base Services,HPE Portfolio," 20,382 "," 31,892 "," 7,822 "," 33,344 ",,
Above Base Services,IBM Portfolio," 103,830 "," 128,860 "," 103,106 "," 100,661 ",,
Above Base Services,Intel Portfolio," 861,054 "," 929,633 "," 238,315 "," 739,656 ",,
Above Base Services,IRG Realty Advisors Portfolio," 64,882 "," 57,612 "," 66,736 "," 68,092 ",,
Above Base Services,LAM Research Portfolio," 77,762 "," 127,921 "," 102,706 "," 73,260 ",,
Above Base Services,LinkedIn Portfolio," 50,005 "," 58,048 "," 121,313 "," 40,591 ",,
Above Base Services,Meta Portfolio," 24,383 "," 45,702 "," 69,095 "," 43,225 ",,
Above Base Services,Micron Tech Portfolio," 28,418 "," 3,651 "," 180,116 "," 6,402 ",,
Above Base Services,Microsoft Portfolio," 757,274 "," 976,820 "," 933,063 "," 1,107,554 ",,
Above Base Services,Mp Mask Technology Center Portfolio," 6,098 "," 4,325 "," 3,106 "," 6,532 ",,
Above Base Services,Nike Portfolio," 5,264 "," 12,951 "," 24,678 "," 15,961 ",,
Above Base Services,NVIDIA Portfolio," 273,876 "," 144,247 "," 280,509 "," 247,658 ",,
Above Base Services,Omnicom Portfolio," 6,201 "," 4,243 "," 5,686 "," 9,938 ",,
Above Base Services,Oracle Portfolio," (54,505)"," 2,852 ", -   ," 68,000 ",,
Above Base Services,Scale AI Portfolio," 9,805 "," 1,551 "," 16,220 "," 4,188 ",,
Above Base Services,Siltronic Corp Portfolio," 3,838 ", -   ," 8,605 "," 3,810 ",,
Above Base Services,SoftLayer Technologies Portfolio, 152 , -   , 220 , -   ,,
Above Base Services,Tesla Inc Portfolio," 56,932 "," 15,605 "," 313,423 "," 64,459 ",,
Above Base Services,TGS Management Portfolio," 1,240 ", -   , -   ," 2,232 ",,
Above Base Services,Uber Portfolio," 10,638 "," 1,077 "," 60,199 "," 13,700 ",,
Above Base Services,Yondr Portfolio," 1,597 "," 1,597 "," 1,597 "," 1,597 ",,
Above Base Services,Abbott Labs - Costa Rica Portfolio," 27,137 "," 31,199 "," 51,279 "," 37,221 ",,
Above Base Services,Banco Interamericano - Costa Rica Portfolio," 3,393 "," 11,096 "," 17,685 ", -   ,,
Above Base Services,Baxter - Costa Rica Portfolio," 10,270 "," 8,545 "," 11,406 "," 12,567 ",,
Above Base Services,Bayer - Costa Rica Portfolio," 11,801 "," 9,525 "," 5,506 "," 5,906 ",,
Above Base Services,Baylis Medical - Costa Rica Portfolio," 5,096 "," 7,174 "," 12,030 "," 9,420 ",,
Above Base Services,Boston Scientific - Costa Rica Portfolio," 39,464 "," 33,271 "," 35,615 "," 31,152 ",,
Above Base Services,Carlson Wagonlet Travel - Costa Rica Portfolio, 674 , 546 , 598 , 857 ,,
Above Base Services,CLARO Telecom - Costa Rica Portfolio," 1,735 ", 950 , 400 , -   ,,
Above Base Services,Clicklease - Costa Rica Portfolio, -   , -   , 472 , -   ,,
Above Base Services,Coloplast - Costa Rica Portfolio," 13,120 "," 7,575 "," 6,500 "," 7,163 ",,
Above Base Services,Contract Workplaces - Costa Rica Portfolio, 158 , 295 , 321 ," 1,078 ",,
Above Base Services,Convera - Costa Rica Portfolio, 470 ," 2,386 "," 1,350 "," 2,249 ",,
Above Base Services,CooperVision - Costa Rica Portfolio," 9,080 "," 12,179 "," 8,202 "," 8,583 ",,
Above Base Services,Cregenna Connectivity - Costa Rica Portfolio," 5,146 "," 7,130 "," 5,927 "," 4,011 ",,
Above Base Services,Cretex - Costa Rica Portfolio," 2,007 ", 86 , 482 , 744 ,,
Above Base Services,Databricks - Costa Rica Portfolio, 150 , 364 , -   , 153 ,,
Above Base Services,Deloitte - Costa Rica Portfolio," 5,814 "," 7,374 "," 4,995 "," 4,111 ",,
Above Base Services,Edwards Dry - Costa Rica Portfolio," 33,877 "," 28,090 "," 33,785 "," 25,740 ",,
Above Base Services,Equifax - Costa Rica Portfolio," 14,691 "," 19,182 "," 23,861 "," 13,671 ",,
Above Base Services,Freudenberg Medical - Costa Rica Portfolio," 1,228 "," 1,413 "," 1,710 "," 2,317 ",,
Above Base Services,Gener8 - Costa Rica Portfolio, -   , 537 , 200 , 300 ,,
Above Base Services,Hewlett-Packard - Costa Rica Portfolio," 1,576 "," 1,224 "," 1,373 "," 1,523 ",,
Above Base Services,Hologic - Costa Rica Portfolio," 4,913 "," 8,880 "," 3,633 "," 3,571 ",,
Above Base Services,Intel - Costa Rica Portfolio, -   , 55 ," 4,725 ", -   ,,
Above Base Services,Laica - Costa Rica Portfolio," 22,168 "," 5,488 "," 20,913 "," 1,377 ",,
Above Base Services,Limitada - Costa Rica Portfolio," 3,075 "," 13,997 "," 38,809 "," 17,985 ",,
Above Base Services,LSGE - Costa Rica Portfolio," 1,745 "," 1,033 "," 1,677 "," 1,043 ",,
Above Base Services,McKinsey & Company Support Svs - Costa Rica Portfolio," 5,228 "," 6,443 "," 6,560 "," 5,340 ",,
Above Base Services,Medtronic - Costa Rica Portfolio," 10,538 "," 11,255 "," 10,140 "," 12,950 ",,
Above Base Services,Microvention - Costa Rica Portfolio," 1,959 "," 4,617 "," 3,224 "," 8,210 ",,
Above Base Services,Nevro Medical - Costa Rica Portfolio," 3,144 "," 2,929 "," 2,597 "," 2,720 ",,
Above Base Services,Newmont - Costa Rica Portfolio, -   , -   ," 5,923 "," 9,353 ",,
Above Base Services,Oracle - Costa Rica Portfolio," 1,092 ", -   , 640 , -   ,,
Above Base Services,Philips - Costa Rica Portfolio," 1,717 "," 1,724 "," 1,741 "," 1,744 ",,
Above Base Services,Procter & Gamble Company - Costa Rica Portfolio," 20,342 "," 23,304 "," 18,384 "," 9,529 ",,
Above Base Services,Shockwave Medical - Costa Rica Portfolio," 14,629 "," 15,324 "," 15,026 "," 10,489 ",,
Above Base Services,Smith & Nephew - Costa Rica Portfolio, 548 , 333 ," 2,092 "," 1,864 ",,
Above Base Services,St. Jude Medical - Costa Rica Portfolio," 53,359 "," 50,656 "," 52,724 "," 60,604 ",,
Above Base Services,Terumo Cardiovascular - Costa Rica Portfolio," 4,051 "," 7,724 "," 4,688 "," 5,300 ",,
Above Base Services,TFB Manufacturing - Costa Rica Portfolio," 12,457 "," 17,159 "," 10,016 "," 13,841 ",,
Above Base Services,Theragencis - Costa Rica Portfolio, 664 , 629 ," 1,337 ", 215 ,,
Above Base Services,Uber - Costa Rica Portfolio," 2,302 "," 4,291 ", 89 ," 2,043 ",,
Above Base Services,Vantive - Costa Rica Portfolio, -   , -   , -   , 249 ,,
Above Base Services,Western Union - Costa Rica Portfolio," 5,381 "," 3,202 "," 7,656 "," 3,576 ",,
Above Base Services,Hewlett-Packard - Malaysia Portfolio," 3,540 "," 2,665 "," 5,152 ", 91 ,,
Above Base Services,Intel - Malaysia Portfolio," 4,628 ", 820 ," 6,904 ", 826 ,,
Above Base Services,TTE Engineering - Malaysia Portfolio, -   , 160 , -   , -   ,,
Above Base Services,Ultra Clean Tech - Malaysia Portfolio, -   ," 1,023 ", -   , -   ,,
Above Base Services,Bristol Myers Squibb - Puerto Rico Portfolio," 25,176 "," 4,953 "," 5,302 ", -   ,,
Above Base Services,Cytiva - Puerto Rico Portfolio, -   , -   ," 4,188 "," 8,106 ",,
Above Base Services,Johnson & Johnson - Puerto Rico Portfolio," 11,231 "," 1,872 "," 8,993 "," 6,644 ",,
Above Base Services,Price Waterhouse Coopers - Puerto Rico Portfolio, 817 , 225 , 225 , 675 ,,
Above Base Services,Amazon - Singapore Portfolio," 2,894 "," 2,885 "," 5,695 "," 2,743 ",,
Above Base Services,Amgen - Singapore Portfolio, -   , -   ," 1,619 ", 784 ,,
Above Base Services,AT&T - Singapore Portfolio, -   , -   ," 2,359 ", -   ,,
Above Base Services,Becton Dickinson - Singapore Portfolio," 1,235 "," 1,539 "," 1,240 ", 588 ,,
Above Base Services,DBS Asia Hub - Singapore Portfolio," 25,553 "," 14,457 "," 28,575 "," 23,132 ",,
Above Base Services,Firmenich - Singapore Portfolio," 1,354 "," 1,349 "," 1,359 ", 815 ,,
Above Base Services,Hewlett-Packard - Singapore Portfolio," 7,896 "," 2,476 "," 2,274 "," 7,087 ",,
Above Base Services,IBM - Singapore Portfolio, -   , 615 , -   , -   ,,
Above Base Services,Kenvue - Singapore Portfolio, -   , -   , -   , 346 ,,
Above Base Services,Microsoft - Singapore Portfolio, 451 , 325 , 364 ," 1,189 ",,
Above Base Services,Novartis - Singapore Portfolio," 1,120 ", 877 ," 3,246 "," 1,936 ",,
Above Base Services,NVIDIA - Singapore Portfolio, 139 , 138 , 139 , 141 ,,
Above Base Services,Philips - Singapore Portfolio, -   , -   ," 7,786 ", 470 ,,
Above Base Services,Satair - Singapore Portfolio, 848 ," 2,221 ", 918 , -   ,,
Above Base Services,Snap Group - Singapore Portfolio, 109 ," 4,673 ", 128 , -   ,,
Above Base Services,Textron Aviation - Singapore Portfolio, -   , -   , 558 , 118 ,,
Above Base Services,Vector Aerospace - Singapore Portfolio, -   , 308 , -   , -   ,,
